Consommation brute électricité (MW);Temperature;Humidity;Wind Force;country_ISO;scale;holiday;day;month;hours
5468.0;8.0;88.0;5.5;250;5;1;2;1;0
5468.0;8.3;88.0;6.1;250;5;1;2;1;0
5468.0;8.0;95.0;5.800000000000001;250;5;1;2;1;0
5479.5;6.8;91.5;10.0;250;5;1;2;1;1
5479.5;9.0;82.0;3.2;250;5;1;2;1;1
5479.5;9.2;81.0;2.8;250;5;1;2;1;1
5479.5;8.9;93.0;3.0;250;5;1;2;1;1
5063.0;5.2;87.0;10.0;250;5;1;2;1;2
5063.0;5.8;80.0;2.0;250;5;1;2;1;2
5063.0;5.3;83.0;1.6;250;5;1;2;1;2
5063.0;6.3;86.0;1.7999999999999998;250;5;1;2;1;2
5364.0;4.5;84.5;9.0;250;5;0;3;1;0
5364.0;4.8;81.0;2.5;250;5;0;3;1;0
5364.0;2.4;91.0;0.0;250;5;0;3;1;0
5364.0;5.3;89.0;1.25;250;5;0;3;1;0
5376.5;5.5;90.0;5.0;250;5;0;3;1;1
5376.5;6.0;79.0;1.5;250;5;0;3;1;1
5376.5;7.1;78.0;1.3;250;5;0;3;1;1
5376.5;6.6;89.0;1.4;250;5;0;3;1;1
5108.0;9.9;83.5;4.0;250;5;0;3;1;2
5108.0;8.1;78.0;2.0;250;5;0;3;1;2
5108.0;8.2;80.0;2.5;250;5;0;3;1;2
5108.0;8.6;84.0;2.25;250;5;0;3;1;2
6004.5;7.2;82.0;10.0;250;5;0;4;1;0
6004.5;7.5;93.0;4.0;250;5;0;4;1;0
6004.5;7.7;94.0;3.0;250;5;0;4;1;0
6004.5;7.7;99.0;3.5;250;5;0;4;1;0
5985.5;9.0;96.5;7.0;250;5;0;4;1;1
5985.5;9.4;94.0;2.0;250;5;0;4;1;1
5985.5;10.2;96.0;1.0;250;5;0;4;1;1
5985.5;9.8;99.0;1.5;250;5;0;4;1;1
5583.0;8.5;97.5;9.0;250;5;0;4;1;2
5583.0;10.6;87.0;2.1;250;5;0;4;1;2
5583.0;10.5;89.0;2.3;250;5;0;4;1;2
