date,location,temperature,humidity,wind_speed
2024-11-20 16:00:00,"48.8566,2.3522",7.09,61,4.89
2024-11-20 19:00:00,"48.8566,2.3522",6.6,64,3.72
2024-11-20 22:00:00,"48.8566,2.3522",5.94,60,3.04
2024-11-21 01:00:00,"48.8566,2.3522",4.78,57,1.98
2024-11-21 04:00:00,"48.8566,2.3522",4.57,59,1.36
2024-11-21 07:00:00,"48.8566,2.3522",4.28,59,2.67
2024-11-21 10:00:00,"48.8566,2.3522",2.18,84,4.86
2024-11-21 13:00:00,"48.8566,2.3522",1.34,99,4.26
2024-11-21 16:00:00,"48.8566,2.3522",0.87,99,6.91
2024-11-21 19:00:00,"48.8566,2.3522",0.83,93,6.56
2024-11-21 22:00:00,"48.8566,2.3522",-0.19,90,2.81
2024-11-22 01:00:00,"48.8566,2.3522",-0.17,91,2.06
2024-11-22 04:00:00,"48.8566,2.3522",0.11,83,3.69
2024-11-22 07:00:00,"48.8566,2.3522",0.84,95,2.95
2024-11-22 10:00:00,"48.8566,2.3522",1.5,95,4.8
2024-11-22 13:00:00,"48.8566,2.3522",2.62,92,5.59
2024-11-22 16:00:00,"48.8566,2.3522",2.94,87,4.28
2024-11-22 19:00:00,"48.8566,2.3522",2.17,86,3.84
2024-11-22 22:00:00,"48.8566,2.3522",2.03,82,2.9
2024-11-23 01:00:00,"48.8566,2.3522",1.96,84,1.98
2024-11-23 04:00:00,"48.8566,2.3522",1.91,84,2.78
2024-11-23 07:00:00,"48.8566,2.3522",1.73,89,3.11
2024-11-23 10:00:00,"48.8566,2.3522",2.8,78,4.22
2024-11-23 13:00:00,"48.8566,2.3522",3.44,77,4.34
2024-11-23 16:00:00,"48.8566,2.3522",4.45,72,5.28
2024-11-23 19:00:00,"48.8566,2.3522",4.92,79,4.9
2024-11-23 22:00:00,"48.8566,2.3522",6.93,76,5.43
2024-11-24 01:00:00,"48.8566,2.3522",7.71,74,5.75
2024-11-24 04:00:00,"48.8566,2.3522",8.75,73,5.85
2024-11-24 07:00:00,"48.8566,2.3522",9.65,76,5.82
2024-11-24 10:00:00,"48.8566,2.3522",11.26,72,6.26
2024-11-24 13:00:00,"48.8566,2.3522",13.54,64,6.28
2024-11-24 16:00:00,"48.8566,2.3522",13.98,70,5.84
2024-11-24 19:00:00,"48.8566,2.3522",14.22,77,6.44
2024-11-24 22:00:00,"48.8566,2.3522",13.53,74,6.16
2024-11-25 01:00:00,"48.8566,2.3522",13.13,68,7.09
2024-11-25 04:00:00,"48.8566,2.3522",13.32,67,7.12
2024-11-25 07:00:00,"48.8566,2.3522",15.47,61,7.81
2024-11-25 10:00:00,"48.8566,2.3522",15.01,77,8.94
2024-11-25 13:00:00,"48.8566,2.3522",13.22,82,7.37
