Consommation brute électricité (MW) - RTE;T;U;FF;country;scale;holiday;day;month;hours
6894.5;1.9;85.0;1.2;1;5;0;5;2;17
6855.0;0.0;91.0;0.0;1;5;0;5;2;18
6484.0;-0.6;96.0;1.2;1;5;0;5;2;19
6117.5;-1.7;95.0;0.0;1;5;0;5;2;20
6016.5;-1.1;97.0;0.9;1;5;0;5;2;21
5919.0;-0.8;97.0;1.8;1;5;0;5;2;22
5771.0;1.0;96.0;3.2;1;5;0;5;2;23
5567.0;1.2;95.0;3.4;1;5;0;6;2;0
5699.5;1.2;95.0;2.1;1;5;0;6;2;1
5456.0;1.4;93.0;3.0;1;5;0;6;2;2
5301.0;1.4;93.0;2.4;1;5;0;6;2;3
5298.0;1.6;91.0;2.7;1;5;0;6;2;4
5377.5;2.1;89.0;2.4;1;5;0;6;2;5
5554.0;2.3;90.0;2.8;1;5;0;6;2;6
5741.0;2.2;90.0;2.4;1;5;0;6;2;7
5895.5;1.9;91.0;2.7;1;5;0;6;2;8
6038.5;1.5;92.0;2.3;1;5;0;6;2;9
6154.0;1.4;92.0;1.7;1;5;0;6;2;10
6330.0;1.3;92.0;2.2;1;5;0;6;2;11
6352.0;1.2;93.0;2.0;1;5;0;6;2;12
6085.0;1.1;93.0;2.4;1;5;0;6;2;13
5989.0;1.3;92.0;1.6;1;5;0;6;2;14
5916.5;1.3;93.0;2.5;1;5;0;6;2;15
5940.5;1.0;95.0;1.7;1;5;0;6;2;16
6450.5;1.0;98.0;2.1;1;5;0;6;2;17
6552.5;1.1;98.0;2.3;1;5;0;6;2;18
6314.5;1.4;98.0;2.8;1;5;0;6;2;19
6045.0;1.7;98.0;3.0;1;5;0;6;2;20
5974.0;2.1;98.0;2.9;1;5;0;6;2;21
6090.5;2.2;98.0;3.2;1;5;0;6;2;22
5944.0;2.3;98.0;1.8;1;5;0;6;2;23
5736.0;2.7;98.0;2.7;1;5;0;7;2;0
5792.0;3.0;98.0;3.0;1;5;0;7;2;1
5563.0;3.5;98.0;3.0;1;5;0;7;2;2
5380.5;4.0;98.0;3.7;1;5;0;7;2;3
5299.0;4.4;98.0;3.9;1;5;0;7;2;4
5317.5;4.9;97.0;4.2;1;5;0;7;2;5
5383.5;5.3;97.0;5.0;1;5;0;7;2;6
